Здравствуйте, данную лабораторную работу выполнил Ахметзянов Дамир Альбертович, группа 1309
Версия: 3.0
Начало: 10.10.2021
Конец: -
Формула: 9.10
n    i
__  2 * i!     i
\  ________ * x
/_   i^i
i=1
X: 1.1
eps:1e-30
n = 677
An = 1.05237e-30
Сумма = 33.7925236
              i |              Fi |               S |
            235 |  1.33804907e-10 |      33.7925236 | 
            236 |  1.31796802e-10 |      33.7925236 | 
            237 |  1.08521994e-10 |      33.7925236 | 
            238 |  1.06892378e-10 |      33.7925236 | 
            239 |  8.80148185e-11 |      33.7925236 | 
            240 |  8.66923898e-11 |      33.7925236 | 
            241 |  7.13815989e-11 |      33.7925236 | 
            242 |   7.0308481e-11 |      33.7925236 | 
            243 |  5.78907677e-11 |      33.7925236 | 
            244 |  5.70199826e-11 |      33.7925236 | 
            245 |  4.69488578e-11 |      33.7925236 | 
            246 |  4.62422748e-11 |      33.7925236 | 
            247 |  3.80744429e-11 |      33.7925236 | 
            248 |  3.75011134e-11 |      33.7925236 | 
            249 |  3.08769933e-11 |      33.7925236 | 
            250 |  3.04117989e-11 |      33.7925236 | 
            251 |  2.50397208e-11 |      33.7925236 | 
            252 |  2.46622756e-11 |      33.7925236 | 
            253 |  2.03056597e-11 |      33.7925236 | 
            254 |   1.9999419e-11 |      33.7925236 | 
            255 |   1.6466374e-11 |      33.7925236 | 
            256 |  1.62179112e-11 |      33.7925236 | 
            257 |  1.33527957e-11 |      33.7925236 | 
            258 |  1.31512145e-11 |      33.7925236 | 
            259 |  1.08277916e-11 |      33.7925236 | 
            260 |  1.06642499e-11 |      33.7925236 | 
            261 |  8.78013382e-12 |      33.7925236 | 
            262 |  8.64745631e-12 |      33.7925236 | 
            263 |  7.11960726e-12 |      33.7925236 | 
            264 |  7.01197152e-12 |      33.7925236 | 
            265 |  5.77304168e-12 |      33.7925236 | 
            266 |  5.68572316e-12 |      33.7925236 | 
            267 |  4.68109219e-12 |      33.7925236 | 
            268 |  4.61025736e-12 |      33.7925236 | 
            269 |  3.79562793e-12 |      33.7925236 | 
            270 |  3.73816625e-12 |      33.7925236 | 
            271 |  3.07761367e-12 |      33.7925236 | 
            272 |  3.03100133e-12 |      33.7925236 | 
            273 |  2.49539146e-12 |      33.7925236 | 
            274 |  2.45758077e-12 |      33.7925236 | 
            275 |   2.0232869e-12 |      33.7925236 | 
            276 |  1.99261647e-12 |      33.7925236 | 
            277 |  1.64047848e-12 |      33.7925236 | 
            278 |  1.61560042e-12 |      33.7925236 | 
            279 |  1.33008065e-12 |      33.7925236 | 
            280 |  1.30990141e-12 |      33.7925236 | 
            281 |  1.07839995e-12 |      33.7925236 | 
            282 |  1.06203235e-12 |      33.7925236 | 
            283 |  8.74331784e-13 |      33.7925236 | 
            284 |  8.61056095e-13 |      33.7925236 | 
            285 |  7.08871112e-13 |      33.7925236 | 
            286 |  6.98103454e-13 |      33.7925236 | 
            287 |  5.74715576e-13 |      33.7925236 | 
            288 |  5.65982292e-13 |      33.7925236 | 
            289 |  4.65943663e-13 |      33.7925236 | 
            290 |  4.58860515e-13 |      33.7925236 | 
            291 |  3.77753655e-13 |      33.7925236 | 
            292 |  3.72008953e-13 |      33.7925236 | 
            293 |  3.06251931e-13 |      33.7925236 | 
            294 |   3.0159284e-13 |      33.7925236 | 
            295 |  2.48281271e-13 |      33.7925236 | 
            296 |  2.44502699e-13 |      33.7925236 | 
            297 |  2.01281619e-13 |      33.7925236 | 
            298 |  1.98217208e-13 |      33.7925236 | 
            299 |   1.6317716e-13 |      33.7925236 | 
            300 |  1.60691973e-13 |      33.7925236 | 
            301 |  1.32284753e-13 |      33.7925236 | 
            302 |  1.30269339e-13 |      33.7925236 | 
            303 |  1.07239662e-13 |      33.7925236 | 
            304 |  1.05605246e-13 |      33.7925236 | 
            305 |  8.69353431e-14 |      33.7925236 | 
            306 |  8.56099211e-14 |      33.7925236 | 
            307 |  7.04746066e-14 |      33.7925236 | 
            308 |  6.93997784e-14 |      33.7925236 | 
            309 |   5.7130018e-14 |      33.7925236 | 
            310 |  5.62584175e-14 |      33.7925236 | 
            311 |  4.63117862e-14 |      33.7925236 | 
            312 |  4.56049979e-14 |      33.7925236 | 
            313 |  3.75417257e-14 |      33.7925236 | 
            314 |  3.69685934e-14 |      33.7925236 | 
            315 |  3.04321417e-14 |      33.7925236 | 
            316 |  2.99673973e-14 |      33.7925236 | 
            317 |  2.46687103e-14 |      33.7925236 | 
            318 |  2.42918614e-14 |      33.7925236 | 
            319 |  1.99965958e-14 |      33.7925236 | 
            320 |  1.96910233e-14 |      33.7925236 | 
            321 |  1.62091948e-14 |      33.7925236 | 
            322 |  1.59614211e-14 |      33.7925236 | 
            323 |  1.31390093e-14 |      33.7925236 | 
            324 |  1.29381044e-14 |      33.7925236 | 
            325 |  1.06502462e-14 |      33.7925236 | 
            326 |  1.04873468e-14 |      33.7925236 | 
            327 |    8.632818e-15 |      33.7925236 | 
            328 |  8.50073614e-15 |      33.7925236 | 
            329 |  6.99747694e-15 |      33.7925236 | 
            330 |  6.89038395e-15 |      33.7925236 | 
            331 |  5.67187133e-15 |      33.7925236 | 
            332 |  5.58504064e-15 |      33.7925236 | 
            333 |  4.59734734e-15 |      33.7925236 | 
            334 |  4.52694614e-15 |      33.7925236 | 
            335 |  3.72635616e-15 |      33.7925236 | 
            336 |  3.66927651e-15 |      33.7925236 | 
            337 |  3.02035196e-15 |      33.7925236 | 
            338 |  2.97407366e-15 |      33.7925236 | 
            339 |  2.44808749e-15 |      33.7925236 | 
            340 |  2.41056705e-15 |      33.7925236 | 
            341 |  1.98423247e-15 |      33.7925236 | 
            342 |  1.95381288e-15 |      33.7925236 | 
            343 |   1.6082533e-15 |      33.7925236 | 
            344 |  1.58359099e-15 |      33.7925236 | 
            345 |  1.30350491e-15 |      33.7925236 | 
            346 |  1.28351048e-15 |      33.7925236 | 
            347 |  1.05649454e-15 |      33.7925236 | 
            348 |  1.04028468e-15 |      33.7925236 | 
            349 |  8.56284827e-16 |      33.7925236 | 
            350 |  8.43143339e-16 |      33.7925236 | 
            351 |  6.94009937e-16 |      33.7925236 | 
            352 |  6.83356128e-16 |      33.7925236 | 
            353 |   5.6248328e-16 |      33.7925236 | 
            354 |  5.53846328e-16 |      33.7925236 | 
            355 |  4.55879511e-16 |      33.7925236 | 
            356 |  4.48877685e-16 |      33.7925236 | 
            357 |  3.69476735e-16 |      33.7925236 | 
            358 |  3.63800538e-16 |      33.7925236 | 
            359 |  2.99447523e-16 |      33.7925236 | 
            360 |  2.94846028e-16 |      33.7925236 | 
            361 |  2.42689505e-16 |      33.7925236 | 
            362 |  2.38959273e-16 |      33.7925236 | 
            363 |  1.96688038e-16 |      33.7925236 | 
            364 |  1.93664131e-16 |      33.7925236 | 
            365 |  1.59404881e-16 |      33.7925236 | 
            366 |  1.56953582e-16 |      33.7925236 | 
            367 |  1.29187958e-16 |      33.7925236 | 
            368 |  1.27200857e-16 |      33.7925236 | 
            369 |  1.04698206e-16 |      33.7925236 | 
            370 |  1.03087416e-16 |      33.7925236 | 
            371 |  8.48502776e-17 |      33.7925236 | 
            372 |  8.35445461e-17 |      33.7925236 | 
            373 |  6.87644781e-17 |      33.7925236 | 
            374 |  6.77060423e-17 |      33.7925236 | 
            375 |  5.57278034e-17 |      33.7925236 | 
            376 |  5.48698356e-17 |      33.7925236 | 
            377 |  4.51623593e-17 |      33.7925236 | 
            378 |  4.44668975e-17 |      33.7925236 | 
            379 |   3.6599763e-17 |      33.7925236 | 
            380 |  3.60360325e-17 |      33.7925236 | 
            381 |  2.96603937e-17 |      33.7925236 | 
            382 |  2.92034468e-17 |      33.7925236 | 
            383 |  2.40365741e-17 |      33.7925236 | 
            384 |   2.3666187e-17 |      33.7925236 | 
            385 |   1.9478938e-17 |      33.7925236 | 
            386 |  1.91787163e-17 |      33.7925236 | 
            387 |  1.57853808e-17 |      33.7925236 | 
            388 |  1.55420347e-17 |      33.7925236 | 
            389 |  1.27921033e-17 |      33.7925236 | 
            390 |  1.25948598e-17 |      33.7925236 | 
            391 |   1.0366353e-17 |      33.7925236 | 
            392 |  1.02064792e-17 |      33.7925236 | 
            393 |  8.40053994e-18 |      33.7925236 | 
            394 |  8.27095684e-18 |      33.7925236 | 
            395 |  6.80746794e-18 |      33.7925236 | 
            396 |  6.70243741e-18 |      33.7925236 | 
            397 |  5.51646966e-18 |      33.7925236 | 
            398 |  5.43134037e-18 |      33.7925236 | 
            399 |  4.47027372e-18 |      33.7925236 | 
            400 |  4.40127535e-18 |      33.7925236 | 
            401 |  3.62246569e-18 |      33.7925236 | 
            402 |   3.5665421e-18 |      33.7925236 | 
            403 |  2.93543016e-18 |      33.7925236 | 
            404 |  2.89010413e-18 |      33.7925236 | 
            405 |  2.37868295e-18 |      33.7925236 | 
            406 |  2.34194653e-18 |      33.7925236 | 
            407 |  1.92751926e-18 |      33.7925236 | 
            408 |   1.8977449e-18 |      33.7925236 | 
            409 |  1.56191819e-18 |      33.7925236 | 
            410 |  1.53778666e-18 |      33.7925236 | 
            411 |  1.26565473e-18 |      33.7925236 | 
            412 |  1.24609678e-18 |      33.7925236 | 
            413 |  1.02558026e-18 |      33.7925236 | 
            414 |  1.00972917e-18 |      33.7925236 | 
            415 |  8.31039216e-19 |      33.7925236 | 
            416 |  8.18192531e-19 |      33.7925236 | 
            417 |  6.73396525e-19 |      33.7925236 | 
            418 |  6.62984866e-19 |      33.7925236 | 
            419 |   5.4565449e-19 |      33.7925236 | 
            420 |  5.37216375e-19 |      33.7925236 | 
            421 |  4.42142366e-19 |      33.7925236 | 
            422 |  4.35303756e-19 |      33.7925236 | 
            423 |  3.58264754e-19 |      33.7925236 | 
            424 |  3.52722494e-19 |      33.7925236 | 
            425 |  2.90297717e-19 |      33.7925236 | 
            426 |  2.85806098e-19 |      33.7925236 | 
            427 |  2.35223527e-19 |      33.7925236 | 
            428 |  2.31583407e-19 |      33.7925236 | 
            429 |  1.90596763e-19 |      33.7925236 | 
            430 |  1.87646739e-19 |      33.7925236 | 
            431 |  1.54435782e-19 |      33.7925236 | 
            432 |  1.52045043e-19 |      33.7925236 | 
            433 |  1.25134774e-19 |      33.7925236 | 
            434 |    1.231973e-19 |      33.7925236 | 
            435 |  1.01392489e-19 |      33.7925236 | 
            436 |  9.98223552e-20 |      33.7925236 | 
            437 |  8.21544828e-20 |      33.7925236 | 
            438 |  8.08820517e-20 |      33.7925236 | 
            439 |  6.65663097e-20 |      33.7925236 | 
            440 |  6.55351426e-20 |      33.7925236 | 
            441 |  5.39355921e-20 |      33.7925236 | 
            442 |  5.30999488e-20 |      33.7925236 | 
            443 |  4.37012836e-20 |      33.7925236 | 
            444 |  4.30240945e-20 |      33.7925236 | 
            445 |  3.54087609e-20 |      33.7925236 | 
            446 |  3.48599837e-20 |      33.7925236 | 
            447 |  2.86896387e-20 |      33.7925236 | 
            448 |  2.82449261e-20 |      33.7925236 | 
            449 |  2.32454127e-20 |      33.7925236 | 
            450 |  2.28850333e-20 |      33.7925236 | 
            451 |  1.88342051e-20 |      33.7925236 | 
            452 |  1.85421682e-20 |      33.7925236 | 
            453 |  1.52600235e-20 |      33.7925236 | 
            454 |  1.50233701e-20 |      33.7925236 | 
            455 |   1.2364057e-20 |      33.7925236 | 
            456 |   1.2172285e-20 |      33.7925236 | 
            457 |  1.00176234e-20 |      33.7925236 | 
            458 |  9.86222208e-21 |      33.7925236 | 
            459 |    8.116454e-21 |      33.7925236 | 
            460 |  7.99052617e-21 |      33.7925236 | 
            461 |  6.57606212e-21 |      33.7925236 | 
            462 |  6.47401845e-21 |      33.7925236 | 
            463 |  5.32799053e-21 |      33.7925236 | 
            464 |  5.24530151e-21 |      33.7925236 | 
            465 |  4.31677051e-21 |      33.7925236 | 
            466 |  4.24976555e-21 |      33.7925236 | 
            467 |  3.49745774e-21 |      33.7925236 | 
            468 |  3.44316227e-21 |      33.7925236 | 
            469 |  2.83363563e-21 |      33.7925236 | 
            470 |  2.78963918e-21 |      33.7925236 | 
            471 |  2.29579743e-21 |      33.7925236 | 
            472 |  2.26014663e-21 |      33.7925236 | 
            473 |  1.86003524e-21 |      33.7925236 | 
            474 |  1.83114718e-21 |      33.7925236 | 
            475 |  1.50697777e-21 |      33.7925236 | 
            476 |  1.48356973e-21 |      33.7925236 | 
            477 |  1.22092953e-21 |      33.7925236 | 
            478 |  1.20196207e-21 |      33.7925236 | 
            479 |  9.89173441e-22 |      33.7925236 | 
            480 |  9.73804251e-22 |      33.7925236 | 
            481 |  8.01405666e-22 |      33.7925236 | 
            482 |  7.88952197e-22 |      33.7925236 | 
            483 |  6.49277717e-22 |      33.7925236 | 
            484 |  6.39186876e-22 |      33.7925236 | 
            485 |   5.2602542e-22 |      33.7925236 | 
            486 |  5.17849022e-22 |      33.7925236 | 
            487 |  4.26168282e-22 |      33.7925236 | 
            488 |  4.19543152e-22 |      33.7925236 | 
            489 |  3.45265901e-22 |      33.7925236 | 
            490 |  3.39897755e-22 |      33.7925236 | 
            491 |  2.79720595e-22 |      33.7925236 | 
            492 |  2.75370967e-22 |      33.7925236 | 
            493 |  2.26617478e-22 |      33.7925236 | 
            494 |  2.23093139e-22 |      33.7925236 | 
            495 |  1.83594885e-22 |      33.7925236 | 
            496 |  1.80739262e-22 |      33.7925236 | 
            497 |  1.48739387e-22 |      33.7925236 | 
            498 |  1.46425608e-22 |      33.7925236 | 
            499 |   1.2050072e-22 |      33.7925236 | 
            500 |  1.18625981e-22 |      33.7925236 | 
            501 |  9.76228666e-23 |      33.7925236 | 
